Voucher code,Seat,Product,Maximum usages
d54ba621-9ca6-4f40-86bd-d0cc506fe4f8,d54ba621-9ca6-4f40-86bd-d0cc506fe4f8,Entry Ticket,1
60ce573d-787d-483e-bebd-cff697114a17,60ce573d-787d-483e-bebd-cff697114a17,Entry Ticket,1
534b72ba-d94a-4a17-8452-45b78a4d2f87,534b72ba-d94a-4a17-8452-45b78a4d2f87,Entry Ticket,1
46e560f6-8ff6-434e-9884-0d5be455ef0a,46e560f6-8ff6-434e-9884-0d5be455ef0a,Entry Ticket,1
c7ac9019-b590-4ff1-8769-6082fc251b78,c7ac9019-b590-4ff1-8769-6082fc251b78,Entry Ticket,1
0762571c-1e67-460a-962d-18c206926ccd,0762571c-1e67-460a-962d-18c206926ccd,Entry Ticket,1
31c2b611-6bce-4a78-823f-79905664f681,31c2b611-6bce-4a78-823f-79905664f681,Entry Ticket,1
4d221e27-5698-4b8b-bc3d-a172361abbe1,4d221e27-5698-4b8b-bc3d-a172361abbe1,Entry Ticket,1
Groundfloor-1-1,Groundfloor-1-1,Entry Ticket,1
Groundfloor-1-2,Groundfloor-1-2,Entry Ticket,1
Groundfloor-1-3,Groundfloor-1-3,Entry Ticket,1
Groundfloor-1-4,Groundfloor-1-4,Entry Ticket,1
Groundfloor-1-5,Groundfloor-1-5,Entry Ticket,1
Groundfloor-1-6,Groundfloor-1-6,Entry Ticket,1
Groundfloor-1-7,Groundfloor-1-7,Entry Ticket,1
Groundfloor-1-8,Groundfloor-1-8,Entry Ticket,1
Groundfloor-1-1,Groundfloor-1-1,Entry Ticket,1
Groundfloor-1-2,Groundfloor-1-2,Entry Ticket,1
Groundfloor-1-3,Groundfloor-1-3,Entry Ticket,1
Groundfloor-1-4,Groundfloor-1-4,Entry Ticket,1
Groundfloor-1-5,Groundfloor-1-5,Entry Ticket,1
Groundfloor-1-6,Groundfloor-1-6,Entry Ticket,1
Groundfloor-1-7,Groundfloor-1-7,Entry Ticket,1
Groundfloor-1-8,Groundfloor-1-8,Entry Ticket,1
1a2bc779-ef1a-474b-aafb-10ba8f087097,1a2bc779-ef1a-474b-aafb-10ba8f087097,Entry Ticket,1
26169198-713e-4387-aa48-22e55287ac7d,26169198-713e-4387-aa48-22e55287ac7d,Entry Ticket,1
c5733984-a003-4d61-ad49-8f4df268ac49,c5733984-a003-4d61-ad49-8f4df268ac49,Entry Ticket,1
b778f21f-43fd-4c44-bdf0-edeac73719b1,b778f21f-43fd-4c44-bdf0-edeac73719b1,Entry Ticket,1
59120b91-c3bb-4fee-8d34-fc5f5c3843c9,59120b91-c3bb-4fee-8d34-fc5f5c3843c9,Entry Ticket,1
d189d810-3592-47a0-9cb4-beccc089d2f5,d189d810-3592-47a0-9cb4-beccc089d2f5,Entry Ticket,1
022a45db-2259-4d62-b676-c699fb5bef1b,022a45db-2259-4d62-b676-c699fb5bef1b,Entry Ticket,1
b4cb943e-357d-4657-a958-9856a1fa0e8f,b4cb943e-357d-4657-a958-9856a1fa0e8f,Entry Ticket,1
72ca5f48-b567-4508-82fc-279373de99a9,72ca5f48-b567-4508-82fc-279373de99a9,Entry Ticket,1
d24b3fa4-5b2f-4fbf-abbd-1e66148aabaa,d24b3fa4-5b2f-4fbf-abbd-1e66148aabaa,Entry Ticket,1
f4fb39a7-0c59-4571-93a7-eaa52b0cc369,f4fb39a7-0c59-4571-93a7-eaa52b0cc369,Entry Ticket,1
a5d069f1-dc12-4477-ae0c-cb53e48e702e,a5d069f1-dc12-4477-ae0c-cb53e48e702e,Entry Ticket,1
230c0ab5-0c38-4ad0-9aed-4cda444b94a0,230c0ab5-0c38-4ad0-9aed-4cda444b94a0,Entry Ticket,1
c6099e42-fee7-4117-938f-b74c41e13d1e,c6099e42-fee7-4117-938f-b74c41e13d1e,Entry Ticket,1
28b21b2a-fe27-424b-9f70-ff6907072df8,28b21b2a-fe27-424b-9f70-ff6907072df8,Entry Ticket,1
d05ad49a-8899-4008-9352-b89ad9abdbd1,d05ad49a-8899-4008-9352-b89ad9abdbd1,Entry Ticket,1
1443afb4-3bac-4cee-8e65-46b64c6d08ac,1443afb4-3bac-4cee-8e65-46b64c6d08ac,Entry Ticket,1
7d68550a-ccc6-48aa-ac42-a9eae1bc4433,7d68550a-ccc6-48aa-ac42-a9eae1bc4433,Entry Ticket,1
1e6c87f7-343f-4713-9164-1c364cb22146,1e6c87f7-343f-4713-9164-1c364cb22146,Entry Ticket,1
9c1680c0-43f4-4a5f-8e3b-895faaff76b0,9c1680c0-43f4-4a5f-8e3b-895faaff76b0,Entry Ticket,1
7c64a2a0-410e-4e29-91db-680af1367063,7c64a2a0-410e-4e29-91db-680af1367063,Entry Ticket,1
f0364176-58ad-46b6-bc8d-3d19f3ec692f,f0364176-58ad-46b6-bc8d-3d19f3ec692f,Entry Ticket,1
23e988b0-e817-44b1-95f4-50e94ef19146,23e988b0-e817-44b1-95f4-50e94ef19146,Entry Ticket,1
